Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Temporal|||Mr. Krenz may need a bit of time to consolidate his empire, which would do a lot to promote Reunification Scenario One|||Cartoonists in West Germany have already mocked the exodus by imagining an advertisement placed by Mr. Honecker: "Wanted: one people
Temporal|||Early in October, six Arab nations in the Persian Gulf jacked up prices sharply|||On Oct. 22, led by Saudi Arabia, the world's largest exporter, they embargoed oil shipments to the U.S. and to the Netherlands, Israel's staunchest European ally
Temporal|||At least 270 people were reported killed and 1,400 injured in the rush-hour tremor that caused billions of dollars of damage along 100 miles of the San Andreas fault|||Bush declared the region a major disaster area and the military was mobilized to prevent looting
Temporal|||The country was renamed the Republic of Hungary|||Like other Soviet bloc nations, it had been known as a "people's republic" since
Temporal|||The merchandise trade deficit widened in August to $10.77 billion, the Commerce Department reported, a sharp deterioration from July's $8.24 billion and the largest deficit of any month this year|||Exports fell for the second month in a row, while imports rose to a record
Temporal|||On Oct. 14 of that year, the announcement of an unusually large August trade deficit helped trigger a steep market decline|||The slide continued until the record 508-point market drop on Oct. 19
Temporal|||The White House already is talking of Mr. Bush visiting the California earthquake site this weekend|||He visited the Hugo devastation but not until after local leaders urged him to do so
Temporal|||Also closed yesterday were the company's Santa Teresa software-development lab and the Almaden research center|||The concern's National Service Division opened a center for emergency service in Walnut Creek as part of its disaster-recovery plan
Temporal|||SOUTHERN PACIFIC TRANSPORTATION CO., San Francisco, railroad, annual sales of $2.41 billion, had only minor damage to headquarters and tracks, and expects to be fully operational tomorrow|||St. Louis Southwestern Railway Co. unit halted all service Tuesday night but has since restored some freight lines and limited commuter service between San Francisco and San Jose
Temporal|||The TVA, in fact, decided to proceed with the bond offering following an agreement last week with the Financing Bank|||The Treasury contended that TVA couldn't borrow from both it and the public debt market
Temporal|||The redemption then would be at 1.5% of the total debt, increasing to 2.5% in February 1991, and to 3% at six-month intervals thereafter|||A revised provision would be included for the conversion of short-term claims inside the net to long-term loans outside the net
Temporal|||The businesses subscribing to Mr. Laband's effective price system will be remembered when normalcy returns|||Perhaps, considering the value of our time, we will be unable to patronize their establishments in the post-Hugo era
Temporal|||that called for a 4% pay increase and 8% bonus in the first year|||In the second year, workers would receive a 3% wage boost and a 3% bonus
Temporal|||As a result, he took the lead in arguing that the cut should be blocked on procedural grounds|||He helped persuade 10 of these senators to support him and Majority Leader George Mitchell on these grounds
Temporal|||He helped persuade 10 of these senators to support him and Majority Leader George Mitchell on these grounds|||The budget reconciliation had to be dealt with by the Oct. 15 deadline, and these Senate Democrats refused to agree to allow a vote to append capital gains to the budget bill
Temporal|||The $475,000 sale price earlier this month was the lowest in nearly three years|||Exchange seats hit a peak of $1,150,000 in September 1987
Temporal|||the drug, called FK-506, could revolutionize the transplantation field by reducing harmful side effects and by lowering rejection rates|||Rejection has been the major obstacle in the approximately 30,000 organ transplants performed world-wide each year
Temporal|||Researchers began using the drug in February on patients who had received kidney, liver, heart and pancreas transplants|||Only two of 111 transplants have been rejected
Temporal|||it was advised by the U.S. attorney for Maryland that it is one of a number of companies being investigated by a federal grand jury for alleged violations of the federal Food, Drug and Cosmetic Act|||Par was already the subject of a federal criminal inquiry into the drug-approval process and a Food and Drug Administration investigation
Temporal|||Mr. Patel resigned as senior vice president of Par in April|||In July, Par and a 60%-owned unit agreed to plead guilty in that inquiry, as did another former Par official
Temporal|||Mr. Bartlett had slimmed Moliere's cast of characters to six and set them in the London media world of Thatcherite Britain|||Mr. Falls transfers the setting to Hollywood, and transforms the characters into what passes for aristocracy there -- agents, producers, actors, writers and sycophants
Temporal|||Mr. Bartlett managed to more or less maintain Moliere's Alexandrine verse form, 12 syllable lines in rhyming couplets|||Mr. Falls kept the form, but Americanized it with Mr. Bartlett's further help
Temporal|||In addition to hedging new stock purchases, the married-put technique can be used to protect stocks that an investor already owns|||In either case, the investor faces three possible outcomes
Temporal|||the bankruptcy court granted Lone Star Steel an extension until year end on its exclusive period to present a reorganization plan|||The 120-day exclusivity period was to expire yesterday
Temporal|||the man who had brought it in for an estimate had returned to collect it and was waiting in the hall|||To confirm Mr. Guy's identification, Sotheby's and IFAR exchanged photos by fax, and the waiting man, apparently innocent of knowledge that the kylix was stolen, agreed to release it
Temporal|||To confirm Mr. Guy's identification, Sotheby's and IFAR exchanged photos by fax, and the waiting man, apparently innocent of knowledge that the kylix was stolen, agreed to release it|||and in short order it was given over to a Chubb & Son representative
Temporal|||He sold them well below market value to raise cash "to pay off mounting credit-card debts," incurred to buy presents for his girlfriend|||The curator, 27-year-old Sherman Krisher of Greenwich, Conn., had worked his way up from janitor in seven years at the museum
Temporal|||Officials at the University of Virginia Art Museum certainly would agree|||Their museum had purchased an Attic black-figured column krater and shipped it from London
Temporal|||Two Mexican college dropouts, not professional art thieves, have been arrested for a 1985 Christmas Eve burglary from the National Museum of Anthropology in Mexico City|||About 140 Mayan, Aztec, Mixtec and Zapotec objects, including some of Mexico's best-known archaeological treasures, were taken
Temporal|||About 140 Mayan, Aztec, Mixtec and Zapotec objects, including some of Mexico's best-known archaeological treasures, were taken|||The government offered a reward for the return of the antiquities, but routine police work led to the recovery
Temporal|||Then they took the art to Acapulco and began to trade some of it for cocaine|||Information from an arrested drug trafficker led to the two men and the recovery of almost all the stolen art
Temporal|||the Leipzig Museum of Fine Arts announced that it has recovered "Cemetery in the Snow," a painting by the German Romantic painter Caspar David Friedrich|||the U.S. State Department notified IFAR of the theft in February 1988
Temporal|||The dealers immediately showed their new acquisition to an expert and came to see it as a fake|||They persuaded Mr. Trotter to take it back and, with the help of the FBI, taped their conversation with him
Temporal|||Mr. Peladeau took his first big gamble 25 years ago, when he took advantage of a strike at La Presse, then Montreal's dominant French-language newspaper, to launch the Journal de Montreal|||The tabloid's circulation soared to 80,000
Temporal|||But his inexperience raises doubts that he would have the political power to carry them out|||The 67-year-old Mr. Brizola has been vague about his intentions and often inflammatory in his rhetoric, but analysts say he probably would be pragmatic
Temporal|||Earlier this year, Dataproducts had rejected a $15 a share offer from DPC, saying it wasn't adequately financed|||DPC last week launched a new, $10-a-share offer for the Woodland Hills, Calif.-based computer printer maker
Temporal|||To date, scientists have fingered two of these cancer-suppressors|||Dr. Dryja made his retinoblastoma discovery in 1986
Temporal|||that in the eye cancer, an infant inherited a damaged copy of a gene from one parent and a normal copy from the other|||The tumor developed when the second, normal copy also was damaged
Temporal|||Then, a scientific team led by molecular geneticist Webster Cavenee, then at the University of Utah, found the answer|||The team used a battery of the newly developed "gene probes," snippets of genetic material that can track a gene's presence in a cell
Temporal|||But in Baltimore, Dr. Vogelstein, a young molecular biologist at Johns Hopkins Medical School, believed Dr. Knudson was right, and set out to repeat the Cavenee experiment in cells from other cancers|||His was one of two research teams in 1984 to report dual chromosome losses for a rare childhood cancer of the kidney called Wilm's tumor
Temporal|||But Dr. Vogelstein had yet to nail the identity of the gene that, if damaged, flipped a colon cell into full-blown malignancy|||They focused on chromosome 17
Temporal|||Seiko Epson Corp., a newcomer to the industry, fought off a legal challenge and started selling NEC clones last year|||It has won about 15% of the retail PC market
Temporal|||they were considering the new reporting requirements, and the expected publication of the proposal in the Federal Register today is the first official step toward creating final regulations|||The Treasury is still working out the details with bank trade associations and the other government agencies that have a hand in fighting money laundering
Temporal|||it plans to seek regulatory approval to build an alternative line, the Alaska Natural Gas Transportation System further north toward Alaska|||If that option is favored by gas buyers and regulators it would build another smaller pipeline connecting Mackenzie Delta reserves to the Alaska mainline
Temporal|||Two gunmen entered a Maryland restaurant, ordered two employees to lie on the floor and shot them in the backs of their heads|||The killers fled with less than $100
Temporal|||Please contribute what you can," the ad said|||The Nissan logo flashed on the screen for a moment
Temporal|||Knight-Ridder wouldn't comment on the offer|||The company has said the paper isn't for sale, and has rebuffed Mr. McMaster's earlier requests for access to Free Press financial statements
Temporal|||The judge came out and said, `Quick, let's put this on the record|||I said, `NOW?
Temporal|||Lights flickered on and off; plaster dropped from the ceiling, the walls still shook and an evacuation alarm blared outside|||The four lawyers climbed out from under a table
Temporal|||In August, representatives of Keidanren, Japan's largest business organization, visited Moscow to explore exports and investments that would help the Soviet economy|||Out of the blue, the Soviet Chamber of Commerce handed over details on 59 technologies that the Japanese might want to buy
Temporal|||Vernon E. Jordan was elected to the board of this transportation services concern|||Mr. Jordan has served as executive director of the United Negro College Fund, director of the Voter Education Project of the Southern Regional Council and attorney-consultant to the U.S. Office of Economic Opportunity
Temporal|||Soviet police clashed with demonstrators in Moscow following a candlelight vigil around the KGB's Lubyanka headquarters in memory of those persecuted under Stalin.|||A splinter group demonstrated in Pushkin Square, where the police clubbed and detained a number of protesters
Temporal|||Secretary of State Baker expressed concern that Nicaraguan President Ortega may attempt to use alleged attacks by the U.S.backed Contra rebels as an excuse to scuttle elections scheduled for February|||Ortega had threatened to end a 19-month-old ceasefire
Temporal|||Four people torched three U.S. flags on the central steps of the U.S. Capitol in a bid to test a new federal law protecting the American flag from desecration|||All four demonstrators were arrested
Temporal|||All you have to do is eat a big pizza, and then go to bed|||You'll have weird dreams, too
Temporal|||A foul-smelling demon supposedly plagued a house in Mannington, Ky|||Mr. Baker found an opening under the house that led to a fume-filled coal mine
Temporal|||When the weather cools hobos often hole up in abandoned houses|||People see activity in there, and the next thing you know, you've got a haunting
Temporal|||I tell people it's the groundup bones of saints|||I sprinkle a little around and tell the demons to leave
Temporal|||Father McKenna moves through the house praying in Latin, urging the demon to split|||Suddenly the woman begins swaying and then writhing
Temporal|||Suddenly the woman begins swaying and then writhing|||She's being attacked by the demon," Mrs. Warren stagewhispers
Temporal|||That would be a blow to both Paribas and Navigation Mixte|||Each had claimed Allianz, Europe's largest insurance company, as a tacit ally
Temporal|||The sweep by the A's, whose pitchers and home-run hitters dominated the injury-prone Giants, will only make things worse for ABC, owned by Capital Cities/ABC Inc|||The network had been expected to have losses of as much as $20 million on baseball this year
Temporal|||The Series got off to a lukewarm start Oct. 14 with a 16.2% rating|||the next night it drew 17.4% of homes
Temporal|||Revco reacted cautiously, saying the plan would add $260 million of new debt to the highly leveraged company|||It was Revco's huge debt from its $1.3 billion leveraged buy-out in 1986 that forced it to seek protection under Chapter 11 of the federal Bankruptcy Code
Temporal|||He told the woman's lawyer, Victor Blaine, that the short skirt was inappropriate for a court appearance|||Despite Mr. Blaine's protests, the judge rescheduled her case for Nov. 27
Temporal|||Prior to a tender offer by A&P for Waldbaum Inc. in 1986, the founder of the Waldbaum's supermarket chain called an elderly relative to tell her to assemble her stock certificates for delivery|||She called her daughter to take her to the bank, who, in turn, persuaded her husband, a Mr. Loeb, to run this errand
Temporal|||who, in turn, persuaded her husband, a Mr. Loeb, to run this errand|||Hearing of this information, the husband discussed it with his broker, Mr. Chestman
Temporal|||when he was told by another prominent trader, Bernard "Bunny" Lasker, that the deal was in trouble|||After placing orders to sell, Mr. Freeman called Martin Siegel, an investment banker at Kidder, Peabody & Co., who was advising on the deal, to confirm these rumors
Temporal|||After placing orders to sell, Mr. Freeman called Martin Siegel, an investment banker at Kidder, Peabody & Co., who was advising on the deal, to confirm these rumors|||Mr. Siegel asked Mr. Freeman who his source was
Temporal|||Stephen N. Wertheimer was named managing director and group head of investment banking in Asia, based in Tokyo|||Mr. Wertheimer, 38 years old, had been a first vice president in the industrial group in investment banking
Temporal|||instead they landed in 16th and 18th place|||The highest-rated show continues to be ABC's "Roseanne
Temporal|||Scott Paper Co. said it is abandoning a proposed $650 million tree-farming project in Indonesia|||The eucalyptus plantation and pulp mill had been approved by Indonesia's investment board
Temporal|||In April 1987, evidence surfaced that commissions were paid|||The opposition charged that the money was used to bribe Indian government officials
Temporal|||But many of his statements on the issue in Parliament subsequently were proven wrong by documentary evidence|||The scandal has faded and flared
Temporal|||Mr. Noriega's relationship to American intelligence agencies became contractual in either 1966 or 1967|||His commanding officer at the Chiriqui Province garrison, Major Omar Torrijos, gave him an intriguing assignment: Mr. Noriega would organize the province's first intelligence service
Temporal|||So he splashed the information on handbills that he distributed throughout the banana-exporting city of Puerto Armuelles, which was ruled by United Fruit Co|||The campaign so divided union leaders that the government found them far easier to control
Temporal|||He signed up for intelligence and counter-intelligence training under American officers at Fort Gulick in Panama in July 1967, according to a copy of a 1983 resume with details Mr. Noriega has since classified as secret|||He flew to Fort Bragg, N.C., in September of that year for a course in psychological operations, returning to the School of the Americas in Panama for a two-month course called "military intelligence for officers
Temporal|||Some American officers interpreted his eagerness and studiousness as a sign of loyalty, but they did so falsely|||He rose to chief of intelligence in Panama's socalled G-2 in 1970 after providing populist dictator Torrijos the critical support to defeat a coup attempt against him a year earlier
Temporal|||He rose to chief of intelligence in Panama's socalled G-2 in 1970 after providing populist dictator Torrijos the critical support to defeat a coup attempt against him a year earlier|||He became Gen. Torrijos's inseparable shadow, and the holder of all Panama's secrets
Temporal|||Intelligence officials to this day worry whether Mr. Noriega sold sensitive information on the recordings to the Cubans or others|||Mr. Turner was troubled enough to cancel the U.S. contract with the rent-a-colonel at the beginning of the Carter administration
Temporal|||The U.S. soon found new cause for concern: gun-running|||Prosecutors in Southern Florida indicted five Panamanians on charges of illegally running arms to Sandinista rebels trying to overthrow the Nicaraguan government of Mr. Somoza
Temporal|||Mr. Noriega made plans to fly to Washington for a meeting with his counterpart at the Pentagon|||Dade County and federal authorities, learning that he intended to fly through Miami, made plans to arrest him on the gun-running charges as soon as he hit U.S. soil
Temporal|||According to military officers at the time, word was passed to Mr. Noriega by his American hosts that the police would be waiting|||On Monday, U.S. officials received a routine, unclassified message from the military group commander in Panama
Temporal|||Prosecutors in Miami received yet another setback|||Their original indictment against Mr. Wittgreen, the friend of Mr. Noriega, and the other four was dismissed on a technicality
Temporal|||North has told Noriega's representative that U.S. law forbade such actions|||The representative responded that Noriega had numerous assets in place in Nicaragua and could accomplish many essential things, just as Noriega had helped {the U.S.} the previous year in blowing up a Sandinista arsenal
Temporal|||Col. North conveyed the request to his superiors and to Assistant Secretary of State Elliot Abrams, who relayed it to Secretary of State George Shultz|||Mr. Noriega's proposal was turned down
Temporal|||Within weeks the unfolding Iran-Contra scandal took away Mr. Noriega's insurance policy.|||Public protests against him were triggered in June 1987 due to charges by Diaz Herrera, his former chief of staff, that Mr. Noriega had stolen the 1984 election and had ordered the killing of Messrs.
Temporal|||that the worm gets into a computer center by looking for obvious passwords -- such as ones that are the same as the user's name|||If it finds one and gets into the system, it will display a screen when a user logs on that says, "Worms Against Nuclear Killers. . . . You talk of times of peace for all, and then prepare for war
Temporal|||The worm also looks for elementary passwords that confer more privileges on the user.|||If it finds one of those passwords, Mr. Alexander said, the worm will do such things as change users' passwords to a series of random numbers, preventing them from signing on to the network
Temporal|||that, on Monday, about four computer centers were affected|||Yesterday, the number grew to 40
Temporal|||Yesterday, the number grew to 40|||today the number is expected to grow to 100
Temporal|||Robert J. Regal was named president and chief executive officer of this company's Universal-Rundle Corp. unit|||Mr. Regal had been president and chief executive of RBS Industries Inc
Temporal|||When traders become confident that the stock market has stabilized, oil prices are expected to rise as supply and demand fundamentals once again become the major consideration|||Crude oil for November delivery edged up by 16 cents a barrel to $20.75 a barrel
Temporal|||It was the possibility of this demand that helped firm prices, the analyst said|||Another analyst noted that Cuba has been deferring shipments in recent years
Temporal|||He last made waves when he dared to defend an Indian girl who had been adopted by non-Indian parents off her reservation|||Mr. Allen quickly ran up against the liberal establishment again, which somehow elevated the vague concept of "Indian rights" above the rights of individual Indians
Temporal|||The results met estimates of analysts, who had already slashed their projections after the company said in late August that its 1989 earnings could tumble as much as 37%|||A company spokesman said yesterday that Coca-Cola Enterprises sticks by its 1989 forecast
Temporal|||The State Development Board set up a Hugo Hotline to accept business-to-business help|||After NBC weather man Willard Scott broadcast the hot-line number, it was flooded with 10,000 calls
Temporal|||The company was founded in Sacramento in 1929 by two brothers, Ralph and Walter Merksamer, who operated as DeVon's Jewelers|||In 1979, the pair split the company in half, with Walter and his son, Sam, agreeing to operate under the Merksamer Jewelery name
Temporal|||Earlier this month, the Reserve Bank of New Zealand, the country's central bank, appointed the managers to run the investment bank and pay creditors|||DFC asked the central bank to appoint managers after it revised loan-loss provisions to around the same level of shareholders' funds of 180 million New Zealand dollars (US$105.4 million
Temporal|||One major NBC affiliate, KCRA in Sacramento, plans to cancel the NBC Saturday morning line-up as of January and replace it with a local newscast|||The one-hour program will be repeated with updates throughout Saturday mornings
Temporal|||In addition to his previous real-estate investment and asset-management duties, Mr. Meador takes responsibility for development and property management|||Those duties had been held by Van Pell, 44
Temporal|||But as soon as the accords were signed, American officials sharply reduced aid|||In February 1989, when the Soviets said they had completed their pullout, the U.S. cut it further
Temporal|||By early May, Moscow had delivered, for example, 1,000 trucks, about 100 tanks, artillery and hundreds of other combat vehicles|||Later that month, it added an entire tank brigade, including 120 T-72 tanks and more than 40 BMP state-of-the-art infantry fighting vehicles
Temporal|||The Soviets cut a deal with Iran: a future Iranian role in Afghanistan in exchange for Iranian support of Soviet policy|||The deal was symbolized by the restoration of the Shi'ite Sultan Ali Keshtmand to the Afghan prime ministry
Temporal|||USED-CAR BUYERS who try to avoid sales tax by understating prices paid in private deals are the targets of a New York drive|||Estimating that the state may lose $15 million a year, officials announced the filing of 15 criminal actions and "hundreds" of civil penalties
Temporal|||New York Stock Exchange volume was a heavy 224,070,000 shares|||Decliners on the Big Board outnumbered advancers, 931 to 658
Temporal|||The stock fell 3 1/4 to 73 1/4 on 3.4 million shares|||Delta Air Lines fell 1 7/8 to 67 7/8, USAir Group dropped 3/4 to 40 1/4, Southwest Airlines dipped 1/2 to 25 and Alaska Air Group slid 3/8 to 24 1/4
Temporal|||In late New York trading yesterday, the dollar was quoted at 1.8667 marks, down from 1.8685 marks late Monday, and at 142.75 yen, up from 141.85 yen late Monday|||Sterling was unchanged at $1.5753
Temporal|||Kay Peterson mounts her bicycle and grinds up yet another steep, rocky path seemingly suitable only for mountain goats|||After a tortuous climb, she is rewarded by a picture-postcard vista: a glade of golden aspens under an azure Indian-summer sky
Temporal|||Then cast-iron sewer pipe and the flush toilet were followed by sewage- and water-treatment plants toward the end of the 19th century|||Medicine in the 19th century was dedicated mostly to combating sepsis and diagnostic analysis
Temporal|||Intelogic Trace, a computer services company, was spun off to Datapoint holders in 1985, after Mr. Edelman gained control|||After Mr. Ackerman announced he was soliciting consents from shareholders in order to wrest control of Datapoint from Mr. Edelman, the corporate raider purchased 30% of Datapoint's shares
Temporal|||The stock tumbled 2 3/4 on news that it might have to take a charge against earnings if it can't successfully resolve a dispute with its European licensee, Boehringer Mannheim, over its anti-anemia drug, EPO|||The stock recovered somewhat to finish 1 1/4 lower at 26 1/4
Temporal|||Intermec, a maker of optical character-recognition devices, also reported higher third-quarter earnings|||Its shares added 3/4 to 30 3/4
Temporal|||One longtime champion of these programs in Congress, Republican whip Newt Gingrich of Georgia, is distracted by questions about his ethics, conservatives note|||Other conservative champions, like Wyoming Republican Sen. Malcolm Wallop, a longtime SDI advocate, don't have the clout with the Bush White House that they enjoyed with President Reagan
Temporal|||it quickly boosted stock positions in its "aggressive" accounts to 75% from 55% to take advantage of plunging prices Friday|||It added another 5% Monday before stocks rallied
Temporal|||Valued as a buy-out target, the airline stock was trading at nearly $280 a share|||When the deal ran into trouble, the stock tumbled; it closed at $198 yesterday
Temporal|||Frank Carlucci III was named to this telecommunications company's board|||Mr. Carlucci, 59 years old, served as defense secretary in the Reagan administration
Temporal|||Eastern would have to issue new debt to cover its costs, and that it would generate far less cash than anticipated|||Other costs also would increase, including maintenance, because Eastern has an older fleet
Temporal|||At the news conference, Mr. Lorenzo and Eastern President Phil Bakes presented a far rosier assessment|||Flanked by flight attendants, pilots and gate agents dressed in spiffy new blue uniforms, they said Eastern has exceeded its operational goals and is filling its seats.
Temporal|||He also is an entertaining writer, combining wisecracks and wordplay with programmatic detail and lucid explanations of how computers work|||In "The Cuckoo's Egg" (Doubleday, 326 pages, $19.95), he spins a remarkable tale of his efforts over 18 months to catch a computer spy
Temporal|||Using Gnu-Emacs, the spy could substitute a bogus "atrun" program for the one that routinely cleans up the Unix system every five minutes|||Once his cuckoo's egg was laid, he could enter Unix and become a "super-user," with access to everything
Temporal|||and he was asked to switch to helping run the lab's computers|||He discovered a 75-cent discrepancy in the charges made to various departments for computer time and traced it to a user named "Hunter
Temporal|||and traced it to a user named "Hunter," who had no valid billing address|||Mr. Stoll suspected the intruder was one of those precocious students who has fun breaking into computers
Temporal|||But after much tracking, it became evident to Mr. Stoll that the hacker was not on the Berkeley campus or even in California|||Finding him became an obsession for Mr. Stoll
Temporal|||Some nights he slept under his desk|||His boss complained about neglect of other chores
Temporal|||Eventually, Mr. Stoll was invited to both the CIA and NSA to brief high-ranking officers on computer theft|||He savored the humor of his uncombed appearance among these buttoned-up chaps
Temporal|||He savored the humor of his uncombed appearance among these buttoned-up chaps|||Back in Berkeley, he was violently scolded by a left-wing lady friend for consorting with such people
Temporal|||The Wilmington, Mass., garment service company also boosted its quarterly dividend 20% to three cents a share adjusted for the split|||The dividend had been five cents a share
Temporal|||But although the golden share has been waived, a hostile bidder for Jaguar would still have to alter the British concern's articles of association which ban shareholdings of more than 15%|||Jaguar shares closed at 869 pence, up 122 pence, on hefty turnover of 9.7 million shares
Temporal|||Elsewhere, share prices closed higher in Amsterdam, Brussels, Milan and Paris|||Prices were mixed in Zurich and lower in Stockholm
Temporal|||U.S. District Judge Julian A. Cook Jr. announced the settlements as the jury trial was to begin yesterday|||He reset opening arguments for today
Temporal|||Magnetic brain tweaking started in the early 1900s, when researchers produced flashes of light in the visual field with magnets|||In the 1960s, Mayo Clinic researchers developed magnetic devices to stimulate motor nerves in the hand and other limbs
Temporal|||At the State University of New York at Brooklyn, researchers flash two groups of different letters on a computer screen in front of human guinea pigs|||Between flashes, certain areas in subjects' brains are jolted with a magnetic stimulator
Temporal|||Separately, a federal judge hearing Mr. Hunt's bankruptcy case yesterday turned down a proposed $65.7 million settlement between Mr. Hunt and Minpeco S.A., another major creditor in the case|||The Peruvian minerals concern had been seeking a claim of $251 million against Mr. Hunt
Temporal|||In addition to turning down the compromise, Judge Harold C. Abramson said he would allow a claim of only $19.7 million|||Minpeco attorneys said they would appeal the decision to a federal district court
Temporal|||Clad in his trademark black velvet suit, the soft-spoken clarinetist announced that his new album, "Inner Voices," had just been released, that his family was in the front row, and that it was his mother's birthday, so he was going to play her favorite tune from the record|||He launched into Saint-Saens's "The Swan" from "Carnival of the Animals," a favorite encore piece for cellists, with lovely, glossy tone and no bite
Temporal|||Mr. Stoltzman introduced his colleagues: Bill Douglas, pianist/bassoonist/composer and an old buddy from Yale, and jazz bassist Eddie Gomez|||An improvisational section was built around pieces by Mr. Douglas, beginning with "Golden Rain," a lilting, laid-back lead in to the uptempo "Sky," which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers
Temporal|||An improvisational section was built around pieces by Mr. Douglas, beginning with "Golden Rain," a lilting, laid-back lead in to the uptempo "Sky," which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers|||Bach's "Air" followed
Temporal|||Bach's "Air" followed|||Mr. Stoltzman tied the composer in by proclaiming him "the great improviser of the 18th century
Temporal|||He also unfortunately illustrated this intricate, jazzy tapestry with Mr. Pearson's images, this time of geometric or repeating objects, in a kitschy mirroring of the musical structure that was thoroughly distracting from Mr. Reich's piece and Mr. Stoltzman's elegant execution of it|||The rest of the concert was more straight jazz and mellow sounds written by Charlie Parker, Ornette Coleman, Bill Douglas and Eddie Gomez, with pictures for the Douglas pieces
Temporal|||Later, Nissan borrowed other Honda practices, including an engineering "idea contest" to promote inventiveness|||One engineer developed a "crab car" that moves sideways
Temporal|||that that will start to change this fall, with its new version of the Stanza compact sedan|||The Stanza has been a nonentity compared with Honda's hugely successful Accord and Toyota's Camry
Temporal|||The protesters lie down in the street, blocking traffic, and will not move until the authorities carry them away|||Assume that someone caught in the jam has a heart attack
Temporal|||The pilots argued that this triggered a pay raise for them|||Eastern has disputed the claim, but a federal district court, an appeals court and now the arbitrator have all sided with the pilots
Temporal|||Yesterday's election was a sequel to Enfield's annual meeting in June when Mr. Blair disallowed proxies in favor of two Hees nominees|||The Ontario Supreme Court overturned Mr. Blair's decision
Temporal|||But Mr. Achenbaum pioneered negotiated fees, which often worked out to less than 15%|||More recently, he negotiated "indemnification" clauses in which an ad agency in some cases must pay a client if it drops the account
Temporal|||Industry executives are wishing Mr. Achenbaum well|||Leonard Matthews, then-president of the American Association of Advertising Agencies, called Mr. Achenbaum a "quisling" in an incendiary 1987 speech
Temporal|||and marks the end of its national cooperative advertising efforts|||For years, the company's ads were tied in with pitches for Cannon sheets or Martex towels, for example, and an announcer at the end of the ads would tell customers where to "find the true performance label
Temporal|||He will be in charge of research, equity sales and trading, and the syndicate operation of Rothschild|||Mr. Conlon was executive vice president and director of the equity division of the international division of Nikko Securities Co
Temporal|||When it wasn't my turn in the balloon I followed its progress from the "chase car," listening to the driver holler into a walkie-talkie|||After long stretches of this attendant ground activity came 20 or so lovely minutes of drifting above the Vosges watching the silver mists rise off the river and the French cows amble about the fields
Temporal|||What's he doing?" hissed my companion, who was the only other English-speaking member of the convention and whose knuckles were white|||Attention," yelled our pilot as our basket plunged into the canal
Temporal|||Attention," yelled our pilot as our basket plunged into the canal|||You bet attention," I yelled back, leaping atop the propane tanks, "I'm wearing alligator loafers
Temporal|||You bet attention," I yelled back, leaping atop the propane tanks, "I'm wearing alligator loafers|||Our pilot simply laughed, fired up the burner and with another blast of flame lifted us, oh, a good 12-inches above the water level
Temporal|||Our pilot simply laughed, fired up the burner and with another blast of flame lifted us, oh, a good 12-inches above the water level|||We scuttled along for a few feet before he plunged us into the drink again
Temporal|||Eventually we came to rest in a soggy patch of field where we had the exquisite pleasure of scrambling out of the basket into the mud while the French half of our ballooning tag team scrambled in|||I looked at my watch
Temporal|||Scott Wakeman was named president and chief operating officer of U.S. operations, titles that had been held by Mr. Weekes|||Mr. Wakeman was vice president of the instrument and controls division of closely held Omega Engineering Inc., another company controlled by Mr. Hollander
Temporal|||The limit could range from three years to seven years|||At the end of this period, the poison pill would be eliminated automatically, unless a new poison pill were approved by the then-current shareholders
Temporal|||Spokespersons for both the trust and the company refused to comment on whether any talks with a possible acquirer of Manville had actually taken place|||The trust is considering a sale of its Manville holdings, but Manville has the right of first refusal on any sales of its stock held by the trust
Temporal|||Britain's House of Commons passed a law that will force English soccer fans to carry identity cards to enter stadiums|||The "anti-hooligan" law must be ratified by the House of Lords
Temporal|||and had been discussing a joint venture with both Warner and MCA|||he chose Warner, the largest record company, because "their standing in the entertainment industry is second to none
Temporal|||Sony is acquiring Columbia and Guber-Peters Entertainment Co. in two separate transactions valued at more than $5 billion|||Warner Communications Inc., which is being acquired by Time Warner, has filed a $1 billion breach-of-contract suit against Sony and the two producers
Temporal|||After practicing law locally, he was elected to his first 10-year term as judge in 1971|||in 1981, he was effectively re-elected
Temporal|||After practicing law locally, he was elected to his first 10-year term as judge in 1971; in 1981, he was effectively re-elected|||Six years ago, Judge O'Kicki was voted president of the Pennsylvania Conference of State Trial Judges by the state's 400 judges
Temporal|||After Laurel Bank tried to repossess the car, a vice president asked him to intervene in an unrelated legal dispute involving a trust account|||The judge wrote again
Temporal|||Two years later, he wrote to complain that the interest he was paying on an unsecured $10,000 loan was "absolutely onerous|||Paul L. Kane, Laurel's president at the time, quickly responded
Temporal|||In a labor-intensive process, the seed companies cut off the tassels of each plant, making it male sterile|||They sow a row of male-fertile plants nearby
Temporal|||he had the idea last January while lying on a beach in Australia|||When he sent letters offering 1,250 retired major leaguers the chance of another season, 730 responded
Temporal|||He gave up seven hits, walked five and didn't get a decision|||Arm troubles forced him back to the minors the next year
